"time","n.risk","n.event","surv"
3,426,7,0.983568075117371
5,418,8,0.964743805737134
8,409,9,0.943514724437295
10,399,17,0.903314848960017
12,382,12,0.874938466270173
15,369,9,0.853598503678218
17,360,20,0.806176364584983
19,340,28,0.739785369854455
22,312,49,0.623601129076031
24,263,27,0.559581241300165
26,235,29,0.490526534926953
29,206,28,0.423853025325231
31,178,11,0.397659860838841
33,167,7,0.38099148343841
36,160,18,0.338129941551589
38,142,3,0.330986351237119
40,138,9,0.309400284852089
43,129,11,0.283017314825942
45,118,10,0.259032796620354
47,107,12,0.229982389522744
50,94,24,0.17126348155949
52,69,10,0.146442687130579
54,58,6,0.131293443634312
57,51,16,0.0901033436706062
59,34,3,0.0821530486408468
61,29,7,0.0623230024171941
64,22,5,0.0481586836860137
68,13,3,0.0370451412969336
71,10,3,0.0259315989078535
73,6,1,0.0216096657565446
75,5,2,0.0129657994539268
78,3,1,0.00864386630261784
82,2,2,0
3,248,6,0.975806451612903
5,241,11,0.931267567929327
8,229,11,0.886534191303901
10,218,5,0.866200838292343
12,212,6,0.841685720227466
15,206,5,0.821256455173401
17,201,4,0.804913043130149
19,197,11,0.759968660011207
22,186,11,0.715024276892264
24,175,3,0.702766717859826
26,172,5,0.682337452805761
29,166,7,0.65356418672359
31,158,5,0.632881775751325
33,153,16,0.566698060640075
36,137,15,0.504650827723279
38,122,8,0.471558970167654
40,114,12,0.421921183834217
43,102,7,0.392965808473045
45,95,8,0.35987395091742
47,83,4,0.342530627981641
50,79,7,0.312179812844027
52,72,10,0.268821505504579
54,60,4,0.250900071804274
57,56,16,0.179214337003053
59,38,3,0.165065836713338
61,34,5,0.140791448961376
64,28,3,0.125706650858372
66,23,2,0.114775637740253
68,21,4,0.0929136115040139
73,17,3,0.076517091826835
78,14,9,0.0273275327952982
80,5,1,0.0218620262362386
82,4,4,0
3,393,5,0.987277353689567
5,387,5,0.974521832324069
8,382,15,0.936255268227574
10,367,5,0.923499746862076
12,361,6,0.90815072059844
15,355,13,0.87489449702723
17,341,11,0.846672093897319
19,330,7,0.828712382814649
22,322,25,0.764371359304195
24,296,21,0.71014231016437
26,275,11,0.681736617757795
29,263,17,0.637669992275352
31,245,17,0.59342350301543
33,228,12,0.562190687067249
36,216,29,0.486711381859146
38,187,11,0.458081300573314
40,176,14,0.421643015300437
43,162,21,0.366985587391121
45,141,12,0.335752771442941
47,128,19,0.285914469431879
50,105,10,0.258684519962176
52,92,11,0.227754849097133
54,81,8,0.205260543013466
57,72,11,0.173901293386409
59,59,6,0.156216416092876
61,53,9,0.129689100152576
64,44,12,0.0943193455655098
66,32,3,0.0854769069187433
68,26,11,0.0493136001454288
71,15,9,0.0197254400581715
75,4,2,0.00986272002908576
82,2,2,0
3,328,9,0.972560975609756
5,318,6,0.95421076852278
8,311,15,0.908187741102067
10,296,6,0.889778530133781
12,290,2,0.883642126477686
15,287,4,0.87132655677068
17,283,1,0.868247664343929
19,282,15,0.822064277942656
22,266,25,0.744802597684888
24,241,3,0.735531196053955
26,238,1,0.732440728843645
29,236,10,0.7014051047401
31,226,6,0.682783730277974
33,220,15,0.636230294122657
36,205,38,0.518294922529189
38,166,11,0.483950078265207
40,155,17,0.430871682584507
43,138,7,0.409015872598336
45,130,8,0.383845665053823
47,121,7,0.361639717488726
50,109,13,0.318508375035942
52,95,5,0.30174477634984
54,90,3,0.291686617138179
57,84,6,0.270851858771166
59,77,4,0.256781632341495
61,73,3,0.246228962519242
64,70,7,0.221606066267317
66,62,1,0.218031774875909
68,61,5,0.200160317918867
71,55,4,0.185603203888404
73,49,4,0.17045192193833
78,45,8,0.140149358038183
80,37,1,0.136361537550664
85,36,7,0.109846794138035
87,29,4,0.0946955121879614
89,25,2,0.0871198712129245
92,23,9,0.0530294868252584
94,14,1,0.0492416663377399
96,13,1,0.0454538458502215
99,12,8,0.0151512819500738
106,4,1,0.0113634614625554
110,3,1,0.00757564097503691
113,2,2,0
3,625,6,0.9904
5,619,10,0.9744
8,608,16,0.948757894736842
10,591,16,0.923072401816724
12,573,16,0.897297256216257
15,556,21,0.863406532510248
17,534,17,0.835919807692506
19,515,28,0.790471740478156
22,487,48,0.712560768110699
24,439,33,0.658996974608072
26,406,20,0.626534069454965
29,386,57,0.53401478976861
31,329,28,0.488566722554261
33,301,31,0.438249219566945
36,270,17,0.410655750186804
38,253,31,0.360338247199488
40,222,15,0.335991068334658
43,207,27,0.292166146377963
45,180,15,0.267818967513133
47,164,35,0.210662480543867
50,128,23,0.172809066071141
52,102,10,0.155867000770049
54,89,10,0.13835385461611
57,76,8,0.123790290972309
59,65,5,0.114267960897516
61,52,6,0.101083196178572
64,44,6,0.0872991239724032
66,35,6,0.0723335598628484
68,29,3,0.064850777808071
71,26,8,0.0448966923286645
73,13,4,0.0310823254583062
75,9,4,0.0172679585879479
82,5,4,0.00345359171758958
89,1,1,0
3,312,3,0.990384615384615
5,308,9,0.961444805194805
8,299,11,0.926073926073926
10,287,9,0.897033280308542
12,277,8,0.871126181960281
15,269,3,0.861411020079683
17,263,5,0.845034384716951
19,258,7,0.822107095209127
22,251,7,0.799179805701302
26,244,4,0.786078497411117
29,240,9,0.7566005537582
31,231,6,0.736948591322922
33,225,32,0.63213812500144
36,193,23,0.556805602332875
38,169,25,0.474437909680083
40,144,25,0.39207021702729
43,119,8,0.365712555378397
45,111,8,0.339354893729504
47,102,8,0.312738823633072
50,93,10,0.279110993134892
52,81,8,0.251544475294409
54,67,2,0.244035684987113
57,61,3,0.232033929987747
59,56,3,0.21960354088126
61,45,2,0.20984338350876
64,42,6,0.179865757293223
66,34,3,0.163995249296762
68,31,3,0.148124741300301
71,27,2,0.13715253824102
73,19,4,0.108278319663963
78,15,11,0.0288742185770568
80,4,1,0.0216556639327926
82,3,1,0.0144371092885284
87,2,1,0.00721855464426419
99,1,1,0
3,510,2,0.996078431372549
5,506,7,0.982298690227079
8,499,13,0.956707742385492
10,486,13,0.931116794543905
12,472,16,0.899553513372925
15,456,15,0.869962937275131
17,439,10,0.850146013874786
19,429,12,0.826365705794373
22,417,45,0.737189550492822
24,372,26,0.685665549651926
26,346,18,0.649995087531305
29,328,21,0.608379548390581
31,305,13,0.582448616819835
33,292,24,0.53457612776615
36,268,28,0.478724890536851
38,238,14,0.450564602858213
40,224,19,0.412347069580061
43,205,36,0.339934901263562
45,169,18,0.303728817105313
47,151,22,0.259476936467453
50,128,28,0.202716356615197
52,98,14,0.173756877098741
54,79,6,0.160560152255798
57,72,9,0.140490133223824
59,59,8,0.121440623634153
61,51,8,0.102391114044482
64,43,12,0.0738168496599751
66,27,4,0.0628810200807195
68,23,6,0.0464772757118362
71,16,5,0.0319531270518874
73,9,3,0.0213020847012582
75,6,3,0.0106510423506291
78,3,1,0.00710069490041941
82,2,2,0
3,290,2,0.993103448275862
5,287,11,0.955040249909888
8,275,6,0.934203008093672
10,269,7,0.909892892641421
12,261,7,0.885489634984371
15,252,2,0.878461939468622
17,250,4,0.864406548437124
19,246,8,0.836295766374128
22,238,8,0.808184984311132
24,230,3,0.797643441037509
26,227,5,0.780074202248136
29,222,8,0.751963420185141
31,214,4,0.737908029153643
33,208,11,0.698884046842633
36,197,24,0.61374081270952
38,173,15,0.560526291376324
40,158,17,0.500216500532036
43,140,11,0.460913775490233
45,129,6,0.439475925467432
47,122,7,0.414260093678317
50,114,11,0.37428762849883
52,100,5,0.355573247073889
54,92,6,0.332383687482113
57,83,4,0.31636519651912
59,74,6,0.290713964368921
61,68,6,0.265062732218722
64,62,8,0.23086108935179
66,52,6,0.204223271349661
68,45,4,0.186070091674135
71,41,4,0.16791691199861
73,35,3,0.1535240338273
75,32,2,0.143928781713094
78,30,2,0.134333529598888
80,28,2,0.124738277484682
82,26,2,0.115143025370475
85,24,2,0.105547773256269
87,22,4,0.0863572690278565
89,18,3,0.0719643908565471
92,15,5,0.0479762605710314
96,10,1,0.0431786345139282
99,9,4,0.0239881302855157
101,5,4,0.00479762605710314
103,1,1,0
